Contract Name,Service Receiver,Service Name,Origin Company Code,Origin Facility Code,Origin City,Origin State,Destination Company Code,Destination Facility Code,Destination City,Destination State,Vehicle Type,Charge Type,Charges,Charge Uom,Invoice From,Invoice To,Tax Applicable,When To Invoice,Billing Cycle Period,Start Date,End Date,Number Of Invoices In The Period,Payment Mode,Facility Category,Original Customer,Product Category,Profit Center,Business Area,Internal Order Number,Payment Terms,Shipx Error
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Bhavnagar,Gujarat,Container CMVR-18.75 MT,Freight charge,18037,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Bhuj,Gujarat,Container CMVR-18.75 MT,Freight charge,19471,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Gandhidham,Gujarat,Container CMVR-18.75 MT,Freight charge,19447,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Gandhinagar,Gujarat,Container CMVR-18.75 MT,Freight charge,16352,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Himatnagar,Gujarat,Container CMVR-18.75 MT,Freight charge,16161,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Jamnagar,Gujarat,Container CMVR-18.75 MT,Freight charge,21649,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Junagadh,Gujarat,Container CMVR-18.75 MT,Freight charge,20463,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Mehsana,Gujarat,Container CMVR-18.75 MT,Freight charge,17381,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Navsari,Gujarat,Container CMVR-18.75 MT,Freight charge,14902,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Palanpur,Gujarat,Container CMVR-18.75 MT,Freight charge,18230,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Rajkot,Gujarat,Container CMVR-18.75 MT,Freight charge,19863,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Surat,Gujarat,Container CMVR-18.75 MT,Freight charge,14902,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Vadodara,Gujarat,Container CMVR-18.75 MT,Freight charge,15855,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Vapi,Gujarat,Container CMVR-18.75 MT,Freight charge,13711,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Bhopal,Madhya Pradesh,Container CMVR-18.75 MT,Freight charge,20311,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Gwalior,Madhya Pradesh,Container CMVR-18.75 MT,Freight charge,21587,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Indore,Madhya Pradesh,Container CMVR-18.75 MT,Freight charge,16391,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Khargone,Madhya Pradesh,Container CMVR-18.75 MT,Freight charge,14671,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
GLOVIS Anantapur 01-02-2026_truck,MLL,FTL-Normal,,,Penukonda,Andhra Pradesh,,,Ratlam,Madhya Pradesh,Container CMVR-18.75 MT,Freight charge,17189,Units,30020733,Corporate Office,Y,Delivered with pod,Monthly,2026-02-01,2026-12-31,1,To Bill,,GLOVIS KIA,Sonet,,,,,"Invalid Original customer, Invalid Invoice To ( Corporate Office ), Invalid Service Receiver# MLL"
